Repository's Location,Group Name,Globs
https://github.com/AY2122S2-CS2103T-T12-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T12-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T12-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T17-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T17-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T17-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W15-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W15-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W15-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W12-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W12-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W12-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W11-4/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W11-4/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W11-4/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W13-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W13-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W13-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W12-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W12-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W12-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T09-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T09-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T09-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T12-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T12-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T12-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T11-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T11-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T11-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T12-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T12-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T12-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W12-4/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W12-4/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W12-4/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T11-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T11-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T11-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T12-4/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T12-4/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T12-4/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T09-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T09-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T09-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T11-4/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T11-4/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T11-4/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T09-4/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T09-4/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T09-4/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W11-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W11-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W11-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W15-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W15-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W15-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W15-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W15-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W15-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T09-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T09-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T09-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W11-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W11-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W11-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W09-2/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W09-2/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W09-2/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W11-1/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W11-1/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W11-1/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-T17-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-T17-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-T17-3/tp.git,test-code,src/test/**
https://github.com/AY2122S2-CS2103T-W14-3/tp.git,docs,**.md;**.adoc;**.puml
https://github.com/AY2122S2-CS2103T-W14-3/tp.git,functional-code,src/main/**
https://github.com/AY2122S2-CS2103T-W14-3/tp.git,test-code,src/test/**
